gene_name,log2FoldChange,pvalue
MIR1254-1,0.549967597,0.78667557
RNU6-697P,0.081387147,0.968022091
Y_RNA,0.165974466,0.934851074
MIR4676,0.081387147,0.968022091
Y_RNA,0.132401117,0.948027949
SNORA11F,-2.587905075,2.50855E-05
RN7SL518P,-0.225893044,0.911425108
RNU6-1266P,0.081387147,0.968022091
RN7SL284P,0.29186714,0.885722677
RNU1-65P,0.010505449,0.99587476
RNU1-19P,-0.283369841,0.888439893
MIR107,0.300330067,0.882434232
RNY3P12,0.081387147,0.968022091
RN7SL644P,0.081387147,0.968022091
Y_RNA,0.239675038,0.906081749
RNU6-657P,-0.023971672,0.990579639
RNU6-271P,-0.31158129,0.878168598
MIR4685,0.085684197,0.96633496
CPN1,-0.074264554,0.970844542
AL138921.3,0.43241395,0.831464569
ERLIN1,0.158919773,0.326352168
CHUK,0.151649977,0.581943119
AL138921.1,-0.229300016,0.910158345
CWF19L1,-2.029179806,1.45422E-16
PHBP9,0.630924055,0.756190775
BLOC1S2,0.093791938,0.791417951
PKD2L1,-0.073712449,0.971057469
AL139819.1,0.02938066,0.988465637
SCD,0.788036923,5.28469E-06
OLMALINC,1.600377089,0.320819381
WNT8B,0.231788327,0.909122838
SEC31B,2.389470519,0.003500164
AL133352.1,1.121071636,0.0008897
NDUFB8,0.873010918,0.05942101
HIF1AN,0.554563589,1.55627E-05
PAX2,0.382878821,0.850549913
AL138762.1,-0.225873751,0.911470217
SLF2,0.244135654,0.104095423
MRPL43,-0.504402899,0.11227392
SEMA4G,1.506458223,0.424648353
AL133215.1,-0.155735869,0.938916937
TWNK,0.540957831,0.767091519
LZTS2,1.115349581,1.42826E-13
PDZD7,0.807935204,0.691311952
SFXN3,0.804551356,0.43381337
AL133215.2,0.269536633,0.894463213
KAZALD1,0.506068105,0.606430052
TLX1NB,-0.02432812,0.990439294
TLX1,-0.023971672,0.990579639
LINC01514,0.169449543,0.933490521
SMARCE1P7,0.071204391,0.972020752
LBX1-AS1,-0.106474046,0.958194332
AL133387.2,0.077477867,0.969563343
BTRC,0.763039146,1.48611E-06
DPCD,0.487035561,0.296078626
POLL,0.784384769,0.036700499
FBXW4,1.253144952,8.28529E-09
FGF8,-0.14326665,0.943779513
NPM3,-0.287225763,0.451319619
MGEA5,1.18679807,1.17138E-21
KCNIP2-AS1,0.177783131,0.930285451
KCNIP2,1.615685566,0.119932247
C10orf76,1.718909992,3.28192E-25
HPS6,0.264424682,0.572743775
AL500527.1,0.081387147,0.968022091
LDB1,0.978371081,6.17477E-11
PPRC1,1.831979202,7.91981E-11
NOLC1,0.621855779,0.007195697
PITX3,0.071204391,0.972020752
GBF1,1.011889746,0.398046984
IDI2-AS1,0.237046674,0.907149029
NFKB2,1.602286201,5.34611E-07
PSD,0.00830428,0.996741587
FBXL15,-0.064248687,0.97215957
CUEDC2,0.5062066,0.126277147
RPARP-AS1,0.216431765,0.866894659
C10orf95,-0.22103377,0.913365094
MFSD13A,0.72371939,0.640099397
ACTR1A,0.655843094,3.1742E-06
SUFU,1.840210354,1.49136E-44
AL391121.1,-0.048381136,0.980997652
TRIM8,1.036055351,0.00111128
ARL3,0.569620388,0.027829562
SFXN2,0.673712544,0.005483888
WBP1L,0.989119066,2.43769E-20
CYP17A1,0.085684197,0.96633496
PFN1P11,0.067843175,0.973352553
PTGES3P4,-0.580394544,0.770186708
AL358790.1,-0.06654491,0.973878827
BORCS7,-0.867936193,0.210765479
BORCS7-ASMT,-0.113334277,0.760399622
AS3MT,0.794984587,0.375093369
CNNM2,1.702892164,4.92063E-09
NT5C2,0.593276748,2.20192E-13
RPS15AP29,0.401484115,0.843325474
ST13P13,0.216585572,0.915686967
RPEL1,0.378933018,0.757114491
INA,0.243096285,0.904056456
PCGF6,1.600958756,4.16285E-13
TAF5,0.683793309,0.24296657
USMG5,-1.01708126,4.8872E-05
PDCD11,1.015639566,1.62283E-06
CALHM2,-0.118272582,0.953858862
AL139339.1,-0.023971672,0.990579639
NEURL1-AS1,-0.181160822,0.928940447
NEURL1,1.84349896,0.042844571
SH3PXD2A,1.668013832,5.23213E-06
AL121929.2,-0.225893044,0.911425108
AL133355.1,0.195689861,0.923269674
STN1,0.106436289,0.804304337
SLK,-0.067858336,0.793886691
IDI1,0.649704493,0.013162649
COL17A1,0.593315847,0.264592272
SFR1,-0.101626666,0.866393311
CFAP43,-0.077849075,0.92922846
AL583859.2,-0.321316994,0.87434317
GSTO1,-0.662865821,0.055886134
GSTO2,-0.135722995,0.892794169
ITPRIP,0.676513648,0.24257578
CFAP58,0.589336981,0.636907749
AL161646.1,0.081387147,0.968022091
SORCS3,0.807718784,0.12237941
WDR37,1.134002506,9.90177E-16
YWHAZP5,0.657671135,0.117279144
SORCS1,0.441593463,0.49186718
LINC01435,-0.151720544,0.787139843
SFTA1P,0.161321332,0.936673175
CELF2,0.489450017,0.013199187
AL353740.1,-0.093410036,0.963325806
AL356476.1,-0.086049376,0.966217384
PHB2P1,0.090028737,0.964648917
AL390123.1,0.005254686,0.997937052
XIAPP1,-0.293947601,0.803559432
XPNPEP1,0.816395539,9.05784E-07
ADD3-AS1,0.307294173,0.578333341
ADD3,0.090591561,0.613439552
MXI1,1.936723552,2.4863E-29
AL360182.1,0.182212738,0.928557108
SMNDC1,-0.144228787,0.492810431
AL355512.1,0.062763211,0.975366851
DUSP5,0.22056711,0.628103696
SMC3,0.807483512,0.00024365
RBM20,0.837793752,1.57457E-19
PDCD4-AS1,-0.108921265,0.95725823
PDCD4,0.550073544,5.80946E-05
BBIP1,-1.074729919,0.003246568
AL158163.2,-0.347372765,0.864202951
AL158163.1,0.082086439,0.967769738
SHOC2,-0.033232194,0.768362297
RPL13AP6,0.046897795,0.981590395
ADRA2A,-0.225893044,0.911425108
GPAM,-0.825799905,0.018338765
GUCY2GP,0.085684197,0.96633496
ACSL5,3.014393047,0.011724295
AL157786.1,0.176470583,0.930791136
ZDHHC6,0.049646469,0.808847498
VTI1A,0.53517304,0.378249267
AC022018.1,-0.021829533,0.991422888
AL158212.3,-0.059944353,0.973811
AL158212.4,0.504319594,0.803928331
AL158212.1,0.443265093,0.827310355
TCF7L2,1.128563765,5.18893E-16
AL158212.2,0.058286465,0.977103408
RPS15AP30,0.104903128,0.958812671
HABP2,0.202216139,0.920689838
CASP7,-0.236459412,0.50573608
PLEKHS1,0.05915894,0.97676521
DCLRE1A,-0.218555608,0.371623825
NHLRC2,-0.192464494,0.074915953
ADRB1,0.169449543,0.933490521
CCDC186,0.250590353,0.092706151
TDRD1,0.159973994,0.937230854
VWA2,1.457059095,2.1417E-07
AURKAPS2,-0.023971672,0.990579639
AC005383.1,0.085684197,0.96633496
AFAP1L2,0.933820398,4.92001E-23
AL133384.2,-0.020560475,0.991922303
ABLIM1,0.929830942,3.53799E-08
USP6NL,0.539646005,1.7276E-08
PPIAP19,0.746238748,0.516237581
FAM160B1,0.14832879,0.27950144
RPL15P13,-0.112387526,0.955868242
TRUB1,-0.568957848,0.00087276
AL355340.1,0.346634152,0.864480267
ATRNL1,0.109139295,0.442097101
GFRA1,0.660529767,0.214270662
CCDC172,0.062205432,0.975561777
PNLIPRP3,-0.02432812,0.990439294
HMGB3P8,0.085684197,0.96633496
PNLIP,0.142547347,0.944039979
PNLIPP1,0.081387147,0.968022091
PNLIPRP1,-0.015490657,0.993916398
C10orf82,-0.16509663,0.768739694
AC016825.1,-0.225893044,0.911425108
HSPA12A,1.715840003,0.006560998
AC023283.1,0.275976833,0.875405096
ENO4,-0.424947164,0.829854247
SHTN1,0.346717085,0.002404662
AC012308.1,0.231788327,0.909122838
SLC18A2,0.193419969,0.924134351
PDZD8,0.050867406,0.725423
ECHDC3,0.087555719,0.956714598
AC005871.2,0.231788327,0.909122838
EMX2OS,-0.827528302,0.667911801
ADARB2,1.482595327,0.01044953
RAB11FIP2,-0.90054342,2.26547E-08
CASC2,0.482793305,0.335948078
PROSER2,1.479784027,2.40755E-07
FAM204A,-0.436878291,0.000491636
PROSER2-AS1,-0.125957952,0.950575984
PRLHR,0.071204391,0.972020752
TOMM22P5,0.459315463,0.774285479
CACUL1,0.440429037,2.92266E-06
AL139407.1,0.191965404,0.924761944
RPL17P36,-0.858023691,0.001092222
LDHAP5,0.339431625,0.867311078
NANOS1,-0.136558787,0.946774669
EIF3A,0.363138535,0.000663166
FAM45A,0.286212655,0.204278765
SFXN4,0.7666346,0.003883167
PRDX3,-0.577767346,0.000197669
UPF2,1.069856811,5.02091E-24
GRK5,2.036018301,1.47069E-05
GRK5-IT1,0.232340201,0.908955438
RGS10,0.694354618,0.025982046
TIAL1,0.499906237,7.36478E-05
RAD1P1,0.079824465,0.968754627
RPS8P4,-0.096914199,0.961938736
BAG3,1.732727344,2.64702E-08
TXNP1,-0.580795156,0.768721391
INPP5F,0.477745019,4.57521E-05
PHACTR2P1,-0.089189569,0.964990147
AL133461.1,0.452205877,0.808359762
MCMBP,0.156951008,0.337766571
SEC23IP,0.517713771,0.0005811
NACAP2,1.126177565,0.354555238
RPL21P16,-0.507712495,0.082575144
AC073587.1,-0.020691234,0.99187085
PLPP4,0.299115205,0.558625036
DHTKD1,1.371796354,1.34162E-17
WDR11-AS1,0.557030331,0.746604131
WDR11,0.168789132,0.134123338
AC010998.1,0.191663052,0.760453953
RPL19P16,0.03179508,0.972711346
SEC61A2,1.51375738,1.95098E-11
FGFR2,0.844530744,1.71202E-10
NUDT5,0.213649114,0.351008332
RPS15AP5,-0.438859349,0.826309905
ATE1,0.393907711,7.05669E-05
ATE1-AS1,0.902685139,0.48084744
NSMCE4A,0.288549604,0.103139054
CDC123,0.544430021,0.003749381
AL731566.1,-0.225893044,0.911425108
TACC2,1.359461268,5.73973E-13
BTBD16,1.028784957,0.337606423
PLEKHA1,0.174839145,0.14160751
HTRA1,0.867991367,0.055095596
DMBT1,0.231788327,0.909122838
DMBT1P1,0.169449543,0.933490521
CUZD1,-0.021606856,0.991513572
FAM24B,-0.028026298,0.988994489
AC073585.1,0.142700937,0.94398709
C10orf88,-0.179177856,0.601829137
PSTK,-0.696835671,0.631730469
IKZF5,-0.273875276,0.365527298
ACADSB,0.484307339,0.080034334
BUB3,-0.012361054,0.938372753
RPS26P39,0.030625413,0.98797163
AL160290.2,1.598024485,0.018672296
CAMK1D,2.079579079,3.94734E-09
CPXM2,0.206854557,0.9189521
AC068058.1,-0.023971672,0.990579639
AL683842.1,0.065829049,0.974160963
CHST15,0.825288385,0.004713482
OAT,0.028423242,0.891360828
NKX1-2,-0.009977857,0.996082919
LHPP,1.918264724,1.78697E-14
AC068896.1,0.981952638,9.68994E-12
FAM53B,1.114003003,1.97362E-05
EEF1AKMT2,0.868929886,8.70115E-06
ABRAXAS2,1.200136892,2.97835E-05
NPM1P31,-0.077418008,0.969609071
AL731577.2,0.927095861,6.32895E-05
ZRANB1,0.662331677,9.50825E-07
CTBP2,1.755221364,1.36226E-49
AL731571.1,-0.225893044,0.911425108
MRPS21P6,0.067650904,0.973453802
TEX36,0.448793783,0.801256528
ALDOAP2,0.222362836,0.908202459
FLJ37035,-0.006017048,0.997637988
AL158835.3,0.043584337,0.982890625
EDRF1,0.334512206,0.033982425
MMP21,-0.245227552,0.903909007
UROS,-0.037932858,0.826805321
BCCIP,0.166035241,0.34928102
DHX32,0.655008706,1.00572E-05
FANK1,2.059891301,8.11535E-46
ADAM12,0.449311493,0.77378829
SAR1AP2,0.071204391,0.972020752
C10orf90,-0.149800674,0.941243489
DOCK1,1.694330245,1.20374E-96
AL359094.1,0.153392037,0.939791326
FAM196A,-0.132632247,0.947952354
FOXI2,-0.207755652,0.918508176
CLRN3,-0.188093973,0.926209611
PTPRE,2.045767272,9.58643E-06
MKI67,1.540769851,2.03719E-12
LINC01163,1.009946757,0.608499852
CCDC3,0.625985012,0.092605023
MGMT,0.945663173,7.15571E-23
AL157832.1,0.142341102,0.944130284
AL157832.3,0.487925398,0.766296489
EBF3,0.1512385,0.940676009
AL354950.2,0.085684197,0.96633496
LINC00959,0.250180743,0.831421291
AL139123.1,0.073529172,0.9711137
CTAGE7P,0.447778003,0.825621749
GLRX3,1.070946101,1.80149E-12
OPTN,0.898083017,1.4215E-07
SNRPGP5,-0.036776377,0.985555345
TCERG1L,0.284113914,0.888785172
BTBD7P1,0.101625924,0.960114798
MCM10,0.423380783,0.003287584
FP565171.1,0.081387147,0.968022091
PPP2R2D,1.695208912,1.66948E-39
BNIP3,1.708947713,6.70009E-22
AL162274.2,-0.031131632,0.987770937
AL162274.1,0.085684197,0.96633496
AL162274.3,0.149407365,0.941340119
JAKMIP3,0.469192227,0.817454142
DPYSL4,0.236259838,0.899906253
STK32C,0.880070986,0.354048528
LRRC27,1.261550356,0.046552302
PWWP2B,0.727209065,0.001381834
AL451069.2,0.607356007,0.765000973
C10orf91,0.339055362,0.867414213
AL451069.1,0.143994716,0.943481333
LINC01165,0.081387147,0.968022091
INPP5A,1.670534736,8.94404E-34
PHYH,0.635847768,0.504936916
CFAP46,1.330400576,4.99047E-05
LINC01166,-1.2566069,0.411273997
ADGRA1,0.589964594,0.767979112
RPL5P28,-0.185578329,0.927239444
KNDC1,1.649605444,0.173041751
SEPHS1,-0.136666034,0.32605368
VENTX,0.073529172,0.9711137
ADAM8,1.082531373,0.285454016
TUBGCP2,0.931870327,7.4599E-12
AL360181.2,0.311828695,0.878025008
ZNF511,-0.387332011,0.669368091
AL360181.5,-0.626819239,0.464567005
CALY,0.081387147,0.968022091
BANF1P2,0.30284294,0.881458203
AL360181.1,0.155834911,0.938878058
FUOM,0.482995941,0.774065533
ECHS1,0.551863051,0.034642033
PAOX,0.186100423,0.891576019
AL360181.3,1.170479319,8.58259E-08
MTG1,1.14509826,1.00488E-07
SCART1,1.520250494,0.019922125
OR7M1P,0.28323177,0.889080227
CYP2E1,0.46862933,0.817693217
RPL23AP60,0.077477867,0.969563343
BEND7,1.254231148,7.44039E-18
ZMYND11,0.047113242,0.567113897
AL590677.1,-0.023971672,0.990579639
PRPF18,0.115658377,0.747910438
AL157392.5,0.563109079,0.07994014
AL157392.3,0.758124469,0.174066035
FRMD4A,0.983392366,0.002406716
AC044781.1,-0.023971672,0.990579639
FAM107B,0.340814773,0.020772233
CDNF,-0.461380176,0.804956643
HSPA14,-0.522161069,0.02085952
AC069544.2,-0.600339408,0.149220777
AC069544.1,0.064193326,0.97477968
SUV39H2,-0.041757587,0.835197227
DCLRE1C,0.171359586,0.402812
MEIG1,-0.941573325,0.60348218
DCLRE1CP1,0.113898898,0.955284671
OLAH,0.268012232,0.89507329
ACBD7,-0.036889463,0.982790996
C10orf111,-0.181614517,0.928759182
RPP38,-0.357839532,0.18781341
NMT2,1.325805336,9.53029E-08
FAM171A1,1.515301822,3.22427E-25
ADARB2-AS1,0.085684197,0.96633496
ITGA8,0.333456071,0.869673507
MINDY3,-0.344654335,0.019036037
AL355339.1,-0.020691233,0.991870851
PTER,-0.244277645,0.402338551
C1QL3,-0.101424866,0.960188103
RSU1,0.492232182,0.000876203
AC073367.1,0.339344381,0.855012412
CUBN,-0.098093205,0.940537489
TRDMT1,-0.344418809,0.231787576
VIM-AS1,0.312701185,0.878206497
VIM,-0.567756332,0.015782721
ST8SIA6,1.787060492,0.162997267
ST8SIA6-AS1,0.270564011,0.894062209
PRPF38AP2,0.316502402,0.876259174
HACD1,0.447199925,0.568973153
STAM-AS1,-0.204162198,0.919987676
STAM,0.319702324,0.006848376
TMEM236,0.069100325,0.972874826
MRC1,0.329043993,0.871343235
SLC39A12,0.548136642,0.722283347
CACNB2,1.015882521,0.003046815
AL450384.2,-0.720603768,0.265548522
AL450384.1,-0.214294529,0.915990808
NSUN6,1.010183519,5.72414E-08
ARL5B,-0.134773015,0.145003401
AIFM1P1,0.081387147,0.968022091
AL357520.1,0.085684197,0.96633496
MALRD1,0.331225492,0.295976118
PLXDC2,0.321056256,0.000122321
AC069549.1,-0.015490656,0.993916399
AMD1P1,-0.021300961,0.991630911
NEBL,1.015352094,2.91928E-10
EIF4BP2,-0.047292245,0.981551875
NPM1P30,0.422010696,0.835410598
C10orf113,0.720082223,0.332460037
NEBL-AS1,-0.023512236,0.990760522
AL158209.1,0.043997886,0.982729225
RNMTL1P1,-0.163827406,0.935724068
CASC10,0.339349566,0.396490515
SKIDA1,0.86771422,0.054573745
MLLT10,1.383512247,5.85391E-29
HNRNPRP1,0.860814302,0.21717736
DNAJC1,0.769413049,8.61416E-13
AL359697.1,-0.1283209,0.949649957
PSME2P6,-0.468460296,0.817710337
AL158211.5,-0.023971672,0.990579639
COMMD3,-0.502993952,0.669960722
COMMD3-BMI1,-0.292037265,0.513018754
BMI1,-0.566167664,0.159585614
SPAG6,0.133157287,0.947768029
AL513128.1,0.231788327,0.909122838
PIP4K2A,1.215438952,7.31962E-35
AL390318.1,0.152105489,0.935033731
ARMC3,-2.396901647,1.41301E-08
MSRB2,-0.090322452,0.745812266
YWHAZP3,0.07888878,0.650691007
C10orf67,0.18912018,0.925856964
OTUD1,-0.227420061,0.792765457
KIAA1217,1.562740848,1.54932E-31
NUP35P1,0.364469935,0.857602025
ARHGAP21,0.461017312,8.81131E-10
PRTFDC1,0.300382359,0.529469292
ENKUR,-0.893348943,0.618048243
THNSL1,-0.352116579,0.725053716
AL713851.1,0.044809124,0.982417758
LINC01516,0.085684197,0.96633496
GPR158,0.150602892,0.747011285
GPN3P1,-0.174244919,0.931678381
LINC00836,-0.188093973,0.926209611
AL358612.1,0.085684197,0.96633496
MYO3A,0.382935844,0.081696051
GAD2,0.890171261,0.574847911
APBB1IP,-0.10823888,0.956295981
AL160287.1,0.341349208,0.866526006
AL390961.1,-0.224652043,0.911946039
PDSS1,0.896685652,0.001003038
HSPA8P3,0.184912999,0.927464731
AL390961.3,0.071204391,0.972020752
ABI1,0.2501569,0.007513444
FAM238C,0.077236638,0.969681113
ANKRD26,1.12849634,8.41429E-13
YME1L1,0.278333507,0.032661597
MASTL,1.018316929,1.78443E-12
ACBD5,-0.001878517,0.993922153
AL160291.1,-0.090131527,0.964618076
LRRC37A6P,0.873539935,0.556845729
ARMC4P1,0.333675795,0.869497924
FAM210CP,0.01192674,0.995317808
DIP2C,2.008312031,2.16052E-93
RAB18,-0.038692601,0.763383423
MKX,0.203883984,0.920058313
ARMC4,0.263010624,0.897575986
AL390866.1,0.085684197,0.96633496
MPP7,0.817603203,2.46378E-14
AC022021.1,-0.320896214,0.874528037
ZNF101P1,0.071204391,0.972020752
AL358234.1,2.016500638,0.007159202
WAC-AS1,0.848482167,0.060155025
WAC,0.918996268,5.80682E-28
TPRKBP1,0.194623351,0.923719762
BAMBI,0.41478125,0.001105979
C10orf126,0.142341102,0.944130284
RPL21P93,-0.737652757,0.073697384
LYZL1,-0.07756213,0.969552555
SVIL-AS1,-0.013920183,0.982439812
SVIL,1.411221626,2.08438E-07
CKS1BP2,0.495984098,0.804069487
JCAD,0.365984032,0.026101466
AL353796.1,0.032440572,0.987265213
MTPAP,0.439866315,0.01437335
GOLGA2P6,0.687113538,0.725128387
NIFKP1,0.221794456,0.91302393
CCND3P1,0.270851645,0.893897368
MAP3K8,1.237641648,0.000134485
LYZL2,-0.096914199,0.961938736
AL731533.2,0.28145548,0.889812259
SVILP1,1.400154221,0.168052248
PFKP,1.339139725,7.78914E-33
ZNF438,0.530577255,0.005485171
DDX10P1,-0.153632626,0.939723091
AL356258.1,0.161321332,0.936673175
ZEB1-AS1,0.174014198,0.931771353
ZEB1,0.774357603,0.058056969
AL451164.3,0.821320871,0.134885973
SPTLC1P1,0.67367366,0.740300273
PITRM1,1.222507909,1.48052E-07
PITRM1-AS1,-0.101933716,0.960165195
AL161935.3,0.071204391,0.972020752
ARHGAP12,0.233547543,0.004155853
KIF5B,0.093754775,0.436856223
RPS4XP11,-0.59646415,0.642906955
PPIAP31,-0.269681813,0.78708518
EPC1,0.149448839,0.177536611
AL391839.2,0.149407365,0.941340119
AL391839.1,-0.019880518,0.992192521
CCDC7,0.550090292,0.100521236
C1DP1,0.789540086,0.597600484
AL365203.3,0.126619038,0.950319663
ITGB1,0.896067147,5.93567E-16
AL365203.1,-0.102442829,0.951445419
RPL7AP53,-0.083686471,0.967138047
NRP1,0.009802945,0.973192592
AC018980.1,-0.225893044,0.911425108
PARD3,1.016712229,3.68269E-11
ELOBP4,0.28323177,0.889080227
RPL37P18,0.364469935,0.857602025
RPS12P16,0.295237979,0.884446012
PARD3-AS1,-0.256273974,0.899604483
AL357833.1,0.062205432,0.975561777
SS18L2P1,0.140646395,0.944801793
PRDX2P2,-0.02432812,0.990439294
AL392046.2,0.071204391,0.972020752
CUL2,0.3990005,0.00350948
AL392046.1,-0.080551513,0.968381962
CREM,-0.007942085,0.963776673
ATP6V1G1P4,0.346634152,0.864480267
AL117336.2,-0.023512236,0.990760522
CCNY,1.126519273,1.94388E-22
AL117336.3,0.493129836,0.52799213
GJD4,0.071204391,0.972020752
FZD8,0.138508878,0.89831246
RPL7P37,0.161321332,0.936673175
AL590730.1,0.071204391,0.972020752
NAMPTP1,0.188567544,0.452066566
MKNK2P1,-0.127914658,0.949799482
ARL6IP1P2,0.924274139,0.283177286
ANKRD30A,0.188269086,0.926227259
LINC00993,0.127852062,0.950158194
TMEM161BP1,0.095257275,0.962622796
AL450322.2,0.157775714,0.938061829
TACC1P1,0.032803289,0.987115163
KLF6,0.191848633,0.304019088
AL132657.1,0.116571404,0.954236733
ZNF248,0.350025913,0.08110488
ZNF33BP1,0.068686611,0.973020887
TLK2P2,0.070665974,0.972259894
AL135791.1,-0.023971672,0.990579639
ZNF25,-1.157992383,0.443888439
AL117337.1,-0.190305881,0.925342998
ZNF33A,-0.074151075,0.552372403
EIF3LP3,0.247704756,0.772622222
ZNF37A,0.574350566,0.082732812
AL117339.5,0.673169375,0.002136387
AL117339.4,0.128973662,0.949384904
AL117339.1,0.259433891,0.898363954
AL133217.1,1.148144528,0.307269805
HSD17B7P2,0.589687653,0.048391085
SEPT7P9,-0.798041474,0.156725182
AL133216.2,1.135435773,0.004979785
AL133216.1,0.000970442,0.999619038
SLC9B1P3,0.285847648,0.888062918
ACTR3BP5,0.184049168,0.927812822
CHEK2P5,0.085684197,0.96633496
AL513303.1,0.047428016,0.981371532
AC025822.2,0.022032179,0.991347924
LINC00702,-0.326957517,0.872152645
AL031601.2,0.157775714,0.938061829
BX322639.1,0.162563344,0.936384527
CCNYL2,0.436099927,0.830023694
ZNF37BP,1.141161243,5.28079E-06
FXYD6P1,0.071204391,0.972020752
EIF3LP2,0.175548235,0.707641893
ZNF33B,-0.218485398,0.118034252
CUBNP1,0.579176052,0.763979925
RSU1P1,0.221794456,0.91302393
BMS1,1.227333446,3.0254E-10
RET,-0.02432812,0.990439294
AC010864.1,-0.029625744,0.988366951
CSGALNACT2,0.235423102,0.439799889
RASGEF1A,-0.093635292,0.954916174
FXYD4,0.085684197,0.96633496
HNRNPF,0.157669504,0.519060079
AL450326.1,0.071204391,0.972020752
ZNF487,1.542508247,0.11064246
ZNF239,-0.238621323,0.894861748
CAP1P2,-0.32275351,0.613395216
ZNF485,-0.600945511,0.730108071
ZNF32-AS3,0.452153463,0.823885366
ZNF32,-0.170102696,0.820329715
HNRNPA3P1,0.251027112,0.901712233
CXCL12,-0.13305937,0.909147115
RPL9P21,-0.313992712,0.877221987
AL356157.2,-0.157107114,0.938360428
TMEM72-AS1,-0.007406702,0.991371973
AL353801.2,0.152569157,0.940149011
TMEM72,-0.182439065,0.928467685
AL353801.1,0.071204391,0.972020752
AL353801.3,-0.147492576,0.942128969
RASSF4,0.269042256,0.618114966
C10orf10,0.117400335,0.913690107
C10orf25,-0.140756553,0.94476676
ZNF22,-0.628580672,0.001024805
CEP164P1,-0.408643312,0.820440977
AL358394.3,-0.345539566,0.848819412
RPS19P7,-0.490754418,0.791907101
RSU1P2,0.071204391,0.972020752
CUBNP3,0.071204391,0.972020752
ANKRD30BP3,-0.015490657,0.993916398
AL512324.3,0.064193326,0.97477968
OR13A1,0.231788327,0.909122838
ALOX5,0.534009259,0.702843667
AL731567.1,-0.097945841,0.961542653
MARCH8,0.281698399,0.219823225
ZFAND4,-0.309954769,0.287679467
AGAP10P,0.819230763,0.453528654
FAM21FP,1.01341518,0.537483117
WASHC2C,1.283602787,7.73211E-09
AGAP4,1.043845179,0.006618768
PARGP1,0.940107391,6.19456E-18
TIMM23,0.271790928,0.066261995
NCOA4,-0.485454864,0.010599647
MSMB,0.300330067,0.882434232
RPL23AP61,-0.328702426,0.871450623
AGAP7P,0.724542657,0.571056296
ANTXRLP1,-0.020691233,0.991870851
ANTXRL,0.071204391,0.972020752
AGAP14,0.872203108,0.481057924
AC244230.1,0.073590562,0.970885323
ANXA8L1,0.361777754,0.079608405
HNRNPA1P33,0.128481056,0.949602966
LINC00704,-0.024552059,0.990358858
GPRIN2,0.120916418,0.952557173
LINC00705,0.081387147,0.968022091
SYT15,0.129565306,0.946194329
AL356056.2,1.402705481,0.456358918
AL356056.1,-0.141798602,0.944358372
FAM35BP,-0.334570154,0.395157056
RHEBP1,-0.260038838,0.824018925
CTSLP2,0.042899793,0.983150032
GLUD1P2,0.520036032,0.739971235
DUSP8P3,0.073529172,0.9711137
BMS1P1,0.89022237,0.003040493
AGAP13P,0.793585018,0.525145973
FRMPD2B,0.663978291,0.719301985
TUBB8,0.267598219,0.895203333
PTPN20,-0.070311702,0.969885153
ZNF488,-0.386609836,0.849102907
